language,page,language_script,gold_grapheme_count
Assyrian-English,page_39,Assyrian-Cuneiform,151
Assyrian-English,page_39,Assyrian-Latin,397
Assyrian-English,page_39,English-Latin,494
Assyrian-English,page_39,Greek-Greek,9
Assyrian-English,page_39,Hebrew-Hebrew,8
Assyrian-English,page_352,Arabic-Arabic,3
Assyrian-English,page_352,Arabic-Latin,5
Assyrian-English,page_352,Assyrian-Cuneiform,131
Assyrian-English,page_352,Assyrian-Latin,498
Assyrian-English,page_352,English-Latin,998
Assyrian-English,page_352,Hebrew-Hebrew,10
Assyrian-English,page_352,Latin-Latin,12
Assyrian-English,page_842,Assyrian-Cuneiform,139
Assyrian-English,page_842,Assyrian-Latin,501
Assyrian-English,page_842,English-Latin,869
Assyrian-English,page_842,Old Persian-Latin,60
Bengalese-English,page_54,Bengalese-Bengali,509
Bengalese-English,page_54,English-Latin,2092
Bengalese-English,page_105,Bengalese-Bengali,485
Bengalese-English,page_105,English-Latin,1999
Bengalese-English,page_217,Bengalese-Bengali,287
Bengalese-English,page_217,English-Latin,2239
Canala-English,page_12,Canala-Latin,348
Canala-English,page_12,English-Latin,1062
Canala-English,page_12,French-Latin,38
Canala-English,page_30,Canala-Latin,300
Canala-English,page_30,English-Latin,905
Canala-English,page_64,Canala-Latin,395
Canala-English,page_64,English-Latin,1050
Chepang-English,page_37,Chepang-Latin,666
Chepang-English,page_37,English-Latin,1332
Chepang-English,page_37,Nepali-Latin,2
Chepang-English,page_103,Chepang-Latin,662
Chepang-English,page_103,English-Latin,1303
Chepang-English,page_304,Chepang-Latin,586
Chepang-English,page_304,English-Latin,1439
Chukchi-Russian,page_3,Chukchi-Cyrillic Extended,275
Chukchi-Russian,page_3,Russian-Cyrillic,453
Chukchi-Russian,page_26,Chukchi-Cyrillic Extended,194
Chukchi-Russian,page_26,Russian-Cyrillic,507
Chukchi-Russian,page_48,Chukchi-Cyrillic Extended,281
Chukchi-Russian,page_48,Russian-Cyrillic,570
Circassian-English-Turkish,page_1,Circassian-Arabic,166
Circassian-English-Turkish,page_1,Circassian-Latin,227
Circassian-English-Turkish,page_1,English-Latin,276
Circassian-English-Turkish,page_1,Turkish-Arabic,141
Circassian-English-Turkish,page_2,Circassian-Arabic,152
Circassian-English-Turkish,page_2,Circassian-Latin,201
Circassian-English-Turkish,page_2,English-Latin,193
Circassian-English-Turkish,page_2,Turkish-Arabic,109
Circassian-English-Turkish,page_3,Circassian-Arabic,124
Circassian-English-Turkish,page_3,Circassian-Latin,166
Circassian-English-Turkish,page_3,English-Latin,241
Circassian-English-Turkish,page_3,French-Latin,6
Circassian-English-Turkish,page_3,Turkish-Arabic,115
Efik-English,page_13,Efik-Latin,505
Efik-English,page_13,English-Latin,1125
Efik-English,page_25,Efik-Latin,615
Efik-English,page_25,English-Latin,1343
Efik-English,page_32,Efik-Latin,603
Efik-English,page_32,English-Latin,1235
Evenki-Russian,page_1,Evenki-Cyrillic,641
Evenki-Russian,page_1,Russian-Cyrillic,723
Evenki-Russian,page_2,Evenki-Cyrillic,675
Evenki-Russian,page_2,Russian-Cyrillic,654
Evenki-Russian,page_3,Evenki-Cyrillic,595
Evenki-Russian,page_3,Russian-Cyrillic,850
Georgian-Russian,page_116,Georgian-Georgian,477
Georgian-Russian,page_116,Russian-Cyrillic,744
Gojri-English-Hindi,page_32,English-Latin,651
Gojri-English-Hindi,page_32,Gojri-Devanagari,105
Gojri-English-Hindi,page_32,Gojri-Latin,173
Gojri-English-Hindi,page_32,Hindi-Devanagari,204
Gojri-English-Hindi,page_76,English-Latin,610
Gojri-English-Hindi,page_76,Gojri-Devanagari,72
Gojri-English-Hindi,page_76,Gojri-Latin,143
Gojri-English-Hindi,page_76,Hindi-Devanagari,308
Gojri-English-Hindi,page_275,English-Latin,666
Gojri-English-Hindi,page_275,Gojri-Devanagari,96
Gojri-English-Hindi,page_275,Gojri-Latin,149
Gojri-English-Hindi,page_275,Hindi-Devanagari,326
Greek-English,page_38,English-Latin,1813
Greek-English,page_38,Greek-Greek,895
Greek-English,page_302,English-Latin,1548
Greek-English,page_302,Greek-Greek,926
Greek-English,page_451,English-Latin,1763
Greek-English,page_451,Greek-Greek,692
Gujarati-English,page_50,English-Latin,1115
Gujarati-English,page_50,Gujarati-Gujarati,177
Gujarati-English,page_500,English-Latin,1182
Gujarati-English,page_500,Gujarati-Gujarati,153
Gujarati-English,page_866,English-Latin,1052
Gujarati-English,page_866,Gujarati-Gujarati,168
Iñupiatun Eskimo-English,page_42,English-Latin,1988
Iñupiatun Eskimo-English,page_42,Iñupiatun Eskimo-Latin,1217
Iñupiatun Eskimo-English,page_201,English-Latin,2034
Iñupiatun Eskimo-English,page_201,Iñupiatun Eskimo-Latin,879
Iñupiatun Eskimo-English,page_201,Latin-Latin,101
Iñupiatun Eskimo-English,page_206,English-Latin,2199
Iñupiatun Eskimo-English,page_206,Iñupiatun Eskimo-Latin,865
Japanese-English,page_137,English-Latin,1865
Japanese-English,page_137,Japanese-Kanji,62
Japanese-English,page_137,Japanese-Katakana,220
Japanese-English,page_137,Japanese-Latin,865
Japanese-English,page_351,English-Latin,2215
Japanese-English,page_351,Japanese-Kanji,76
Japanese-English,page_351,Japanese-Katakana,185
Japanese-English,page_351,Japanese-Latin,882
Kashmiri-English,page_14,English-Latin,590
Kashmiri-English,page_14,Kashmiri-Arabic,202
Kashmiri-English,page_14,Kashmiri-Latin,290
Kashmiri-English,page_39,English-Latin,562
Kashmiri-English,page_39,Kashmiri-Arabic,157
Kashmiri-English,page_39,Kashmiri-Latin,335
Kashmiri-English,page_71,English-Latin,476
Kashmiri-English,page_71,Kashmiri-Arabic,192
Kashmiri-English,page_71,Kashmiri-Latin,364
Khmer-English,page_8,English-Latin,817
Khmer-English,page_8,Khmer-Khmer,148
Khmer-English,page_116,English-Latin,1136
Khmer-English,page_116,Khmer-Khmer,338
Khmer-English,page_143,English-Latin,1183
Khmer-English,page_143,Khmer-Khmer,224
